Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
20619284,7/9/2016 20:00,7/9/2016 20:17,70491,983,1017,21st St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
20619303,7/9/2016 20:01,7/9/2016 20:14,70134,770,1017,21st St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
20619298,7/9/2016 20:01,7/9/2016 20:14,70495,774,1017,21st St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
20619309,7/9/2016 20:02,7/9/2016 20:16,70171,844,1017,21st St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
20619336,7/9/2016 20:04,7/9/2016 20:47,70125,2626,1001,Forbes Ave & Market Square,1000,Liberty Ave & Stanwix St,Customer
20619376,7/9/2016 20:06,7/10/2016 0:42,70414,16561,1021,Taylor St & Liberty Ave,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
20619511,7/9/2016 20:18,7/9/2016 20:23,70320,296,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
20619513,7/9/2016 20:18,7/10/2016 11:11,70399,53596,1015,Federal St & E North Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
20619525,7/9/2016 20:19,7/10/2016 11:11,70186,53543,1015,Federal St & E North Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
20619543,7/9/2016 20:21,7/9/2016 22:49,70394,8923,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
20619563,7/9/2016 20:23,7/9/2016 20:29,70198,388,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20619566,7/9/2016 20:23,7/9/2016 20:31,70034,490,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
20619568,7/9/2016 20:23,7/9/2016 22:48,70453,8696,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
20619590,7/9/2016 20:25,7/9/2016 21:10,70040,2707,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
20619608,7/9/2016 20:26,7/10/2016 2:08,70267,20504,1029,Alder St & S Highland Ave,1029,Alder St & S Highland Ave,Customer
20619616,7/9/2016 20:27,7/9/2016 20:53,70451,1563,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1013,Isabella St & Federal St (PNC Park),Customer
20619622,7/9/2016 20:28,7/9/2016 20:53,70338,1507,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1013,Isabella St & Federal St (PNC Park),Customer
20619660,7/9/2016 20:31,7/9/2016 22:11,70176,5968,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
20619659,7/9/2016 20:31,7/9/2016 22:14,70012,6184,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
20619666,7/9/2016 20:32,7/9/2016 22:14,70364,6113,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
20619669,7/9/2016 20:32,7/9/2016 22:15,70010,6141,1000,Liberty Ave & Stanwix St,1001,Forbes Ave & Market Square,Customer
20619664,7/9/2016 20:32,7/10/2016 2:08,70211,20185,1029,Alder St & S Highland Ave,1029,Alder St & S Highland Ave,Customer
20619686,7/9/2016 20:34,7/9/2016 21:10,70045,2185,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
20619740,7/9/2016 20:39,7/9/2016 21:04,70168,1523,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1041,Fifth Ave & S Bouquet St,Customer
20619756,7/9/2016 20:41,7/9/2016 21:05,70034,1428,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1041,Fifth Ave & S Bouquet St,Customer
20619762,7/9/2016 20:42,7/10/2016 0:37,70171,14157,1011,Fort Duquesne Blvd & 7th St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20619846,7/9/2016 20:48,7/9/2016 20:54,70044,358,1013,Isabella St & Federal St (PNC Park),1001,Forbes Ave & Market Square,Customer
20619842,7/9/2016 20:48,7/9/2016 20:55,70027,398,1013,Isabella St & Federal St (PNC Park),1001,Forbes Ave & Market Square,Customer
20619837,7/9/2016 20:48,7/9/2016 20:55,70282,439,1013,Isabella St & Federal St (PNC Park),1001,Forbes Ave & Market Square,Customer
20619856,7/9/2016 20:50,7/9/2016 21:12,70298,1350,1017,21st St & Penn Ave,1000,Liberty Ave & Stanwix St,Customer
20619882,7/9/2016 20:53,7/9/2016 21:52,70336,3549,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
20619891,7/9/2016 20:54,7/9/2016 21:51,70249,3421,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
20619897,7/9/2016 20:55,7/9/2016 21:52,70181,3429,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
20619911,7/9/2016 20:56,7/9/2016 22:23,70052,5251,1011,Fort Duquesne Blvd & 7th St,1011,Fort Duquesne Blvd & 7th St,Customer
20619909,7/9/2016 20:56,7/9/2016 22:24,70212,5266,1011,Fort Duquesne Blvd & 7th St,1011,Fort Duquesne Blvd & 7th St,Customer
20619908,7/9/2016 20:56,7/9/2016 22:24,70098,5317,1011,Fort Duquesne Blvd & 7th St,1011,Fort Duquesne Blvd & 7th St,Customer
20619982,7/9/2016 21:05,7/9/2016 21:31,70243,1581,1016,17th St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
20620001,7/9/2016 21:07,7/9/2016 21:51,70253,2683,1015,Federal St & E North Ave,1015,Federal St & E North Ave,Customer
20620014,7/9/2016 21:07,7/9/2016 22:06,70114,3526,1033,Ivy St & Walnut St   ,1033,Ivy St & Walnut St   ,Customer
20620031,7/9/2016 21:09,7/10/2016 9:36,70477,44846,1011,Fort Duquesne Blvd & 7th St,1051,Transit,Customer
20620077,7/9/2016 21:13,7/9/2016 22:09,70016,3380,1009,12th St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
20620087,7/9/2016 21:15,7/9/2016 22:09,70140,3251,1009,12th St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
20620116,7/9/2016 21:19,7/9/2016 21:29,70126,590,1037,Frew St & Schenley Dr,1034,Ellsworth Ave & N Neville St,Customer
20620119,7/9/2016 21:20,7/9/2016 21:29,70206,543,1037,Frew St & Schenley Dr,1034,Ellsworth Ave & N Neville St,Customer
20620156,7/9/2016 21:26,7/9/2016 22:43,70425,4630,1015,Federal St & E North Ave,1034,Ellsworth Ave & N Neville St,Customer
20620187,7/9/2016 21:28,7/9/2016 21:52,70491,1455,1011,Fort Duquesne Blvd & 7th St,1014,Ridge Ave & Brighton Rd (CCAC),Customer
20620178,7/9/2016 21:28,7/9/2016 22:58,70247,5386,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
20620189,7/9/2016 21:29,7/9/2016 21:52,70079,1416,1011,Fort Duquesne Blvd & 7th St,1014,Ridge Ave & Brighton Rd (CCAC),Customer
20620195,7/9/2016 21:30,7/9/2016 22:58,70160,5282,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
20620419,7/9/2016 22:02,7/9/2016 22:22,70452,1174,1003,First Ave & Smithfield St (Art Institute),1049,S 12th St & E Carson St,Customer
20620418,7/9/2016 22:02,7/9/2016 22:22,70348,1210,1003,First Ave & Smithfield St (Art Institute),1049,S 12th St & E Carson St,Customer
